ftid;name
470;Antenne
609;Armeringsnett
791;Avrettingslag
208;BassengMagasin
87;NVDB_Belysningspunkt
72;Bergsikring
71;Betongutstøping
274;Blomsterbeplantning
45;Bomstasjon
478;Branndetektor
474;Brannslokkingsanlegg
213;Brannslokningsapparat
475;Brannvarslingsanlegg
511;Busker
65;NVDB_Bygning
226;Bærelag
167;Detektor
461;ElektriskAnlegg
453;ElektrostatiskRensesløyfe
860;Evakueringslysstrekning
845;Fanggjerde
103;NVDB_Fartsdemper
22;NVDB_Ferist
41;Ferjeoppstillingsplass
59;Fiberduk
147;Fjellrom
819;Fordelingstavle
227;Forsterkningslag
48;NVDB_Fortau
458;Fotocelle
229;Frostsikringslag
137;NVDB_Fylling
174;NVDB_Gangfelt
215;Gassmåler
7;Gjerde
855;Gjerdeport
15;Grasdekker
80;GrøftÅpen
209;NVDB_Hydrant
462;Høydemåler
610;Høydevarsler
803;Inspeksjonsluke
92;Kabel
183;KabelbruStige
843;Kabelgrøft
163;KameraOvervåkning
9;Kantstein
20;KantstolperRefleks
460;Kondensmåler
44;KontrollVeieplass
83;NVDB_Kum
861;LedelysstrekningOptisk
26;Lekeapparat
25;Leskur
78;LukketRørgrøft
88;Lysarmatur
181;Lysmast
459;Lysmåler
145;Membran
471;Mobiltelefonsamband
164;MåleutstyrSvevestøv
10;NedsenkaKantstein
500;Nødstasjon
467;Nødstrømsaggregat
180;Nødtelefon
801;Nødutgang
479;Nødutgangsskilt
43;NVDB_Parkeringsområde
144;PlastringErosjonssikring
13;PortDør
85;Pumpe
210;NVDB_Pumpestasjon
472;Radiosamband
39;NVDB_Rasteplass
98;NVDB_Referansestolpe
5;Rekkverk
14;Rekkverksende
27;NVDB_Renovasjon
77;Rørledning
503;SidearealTunnel
89;Signalanlegg
91;Signalhode
90;Signalpunkt
73;Sikringsbolt
214;Siktmåler
502;SkapTeknisk
96;Skiltplate
24;NVDB_Skiltportal
95;NVDB_Skiltpunkt
3;NVDB_Skjerm
57;NVDB_Skjæring
849;SkredVarslingOvervåkning
625;Skredmagasin
66;Skredoverbygg
846;SkredsikringBremsekjegler
850;SkredsikringForbygning
851;Skredutløsningstiltak
40;Snuplass
848;Snøskjerm
623;StativForTuristinfo
79;StikkrenneKulvert
11;StolpeGenerell
456;Styreapparat
542;Støtpute
62;Støttemur
451;Sykkelparkering
859;TaktileIndikatorer
473;Telefonsentral
463;Temperaturmåler
481;Tennpunkt
243;Toalettanlegg
172;Trafikkdeler
47;Trafikklomme
482;Trafikkregistreringsstasjon
342;Trafikkspeil
49;NVDB_Trafikkøy
466;Trafo
853;Trekkekum
852;TrekkerørKanal
199;Trær
581;NVDB_Tunnel
67;Tunnelløp
447;TunnelløpUtenTrafikk
854;Tunnelport
69;NVDB_Tunnelportal
303;NVDB_Undergrunn
468;UPS
28;Utemøbler
70;VannOgFrostsikring
464;Vannstandsmåler
97;VariabeltSkilt
23;Vegbom
241;Vegdekke
836;VegoppmerkingForsterket
99;NVDB_VegoppmerkingLangsgående
519;VegoppmerkingTversgående
278;Ventilasjonsanlegg
212;VifteVentilator
165;Vindmåler
234;NVDB_Voll
153;Værstasjon
